,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
107,https://www.sgcarmart.com/used_cars/info.php?ID=1067735&DL=3274,Nissan,25800,,13-Aug-2014,60000,2014,,Manual,10628,02/03/2022,,23804,43390,880,2488,1800,2,Van
108,https://www.sgcarmart.com/used_cars/info.php?ID=1020945&DL=1000,Toyota,19000,9130,02-Apr-2009,,2009,965,Auto,5315,02/03/2022,16990,11311,12763,739,1598,1195,4,Mid-Sized Sedan
109,https://www.sgcarmart.com/used_cars/info.php?ID=1068406&DL=2689,BMW,197777,57070,14-Jan-2014,90000,2012,4568,Auto,117733,02/03/2022,116821,182278,93889,366,4395,1850,4,Sports Car
110,https://www.sgcarmart.com/used_cars/info.php?ID=1044096&DL=3761,Honda,56888,10040,16-May-2017,88500,2016,682,Auto,32978,02/03/2022,19198,9198,50101,1888,1496,1130,3,Stationwagon
111,https://www.sgcarmart.com/used_cars/info.php?ID=1042546&DL=1172,Mercedes-Benz,213000,29440,16-Mar-2017,54000,2016,2382,Auto,123682,02/03/2022,87391,129304,53001,1828,2996,2220,4,SUV
112,https://www.sgcarmart.com/used_cars/info.php?ID=1061674&DL=1290,Volkswagen,101888,18470,27-Oct-2016,80000,2015,1194,Auto,46974,02/03/2022,28472,31861,53001,1674,1984,1370,2,Sports Car
113,https://www.sgcarmart.com/used_cars/info.php?ID=1066145&DL=2298,Toyota,143800,14410,22-Apr-2021,5000,"
Luxury Sedan ",1784,2020,74079,02/03/2022,,,61190,3324,2487,1495,1,
114,https://www.sgcarmart.com/used_cars/info.php?ID=1055961&DL=4064,Volkswagen,28800,8500,22-Jul-2010,130000,2010,744,Auto,11142,02/03/2022,15201,15201,16438,1224,1390,1129,6,Hatchback
115,https://www.sgcarmart.com/used_cars/info.php?ID=1044189&DL=3451,BMW,79888,14080,30-Nov-2016,99543,"
MPV ",1082,2016,42684,02/03/2022,,,56889,1707,1496,1480,2,
116,https://www.sgcarmart.com/used_cars/info.php?ID=1069641&DL=3108,Toyota,42000,,31-Dec-2015,,2015,,Manual,16355,02/03/2022,,24944,42671,1373,2982,1760,2,Truck
117,https://www.sgcarmart.com/used_cars/info.php?ID=1034709&DL=3030,Toyota,79800,8350,21-Sep-2021,,2021,,Manual,28898,02/03/2022,,31609,30232,3473,2755,1800,1,Truck
118,https://www.sgcarmart.com/used_cars/info.php?ID=1067575&DL=3093,Mazda,53800,9280,18-Jul-2017,80000,2017,682,Auto,28817,02/03/2022,17731,7731,42801,1950,1496,1068,1,Hatchback
119,https://www.sgcarmart.com/used_cars/info.php?ID=1037771&DL=1060,Nissan,49800,,28-Dec-2017,,2017,,Manual,33609,02/03/2022,,27176,57701,2100,2953,1800,1,Truck
120,https://www.sgcarmart.com/used_cars/info.php?ID=1033832&DL=1351,Mitsubishi,61300,,19-Nov-2018,36637,2018,,Manual,16092,02/03/2022,,29367,23944,2436,2998,1800,1,Truck
